"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"260","F",2,1,9,1,1,2,2,0.78763,0,0,1,3,3,2,-1,-1,0,-1,-3,0.25,0.5,0.25,1,0,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,1,2,1
"261","F",2,1,5,1,1,2,2,0.32783,0,0,1,2,1,1,-2,1,-1,2,0,0.375,0.25,1,1,0,1,1,3,3,1,3,1,1,1,1,1,0,2,1,2,2,1,2,1,2,1
"262","M",1,2,12,2,9,1,1,0.61825,1,1,3,4,5,5,-2,-2,2,2,0,0,1,1,1,1,1,0,2,2,2,2,5,2,3,2,3,0,1,1,3,3,3,1,2,1,4
"263","F",2,1,9,1,2,2,3,0.4042,0,0,1,3,3,2,0,-1,-2,0,-3,0.375,0,0.5,1,0,1,1,1,1,1,1,3,1,2,1,1,1,3,1,2,2,1,2,1,2,1
"264","M",2,2,10,2,9,1,1,0.86436,1,1,3,5,4,5,2,2,0,2,6,1,0.5,1,0,0,1,0,5,5,5,5,5,2,3,2,3,0,1,3,1,3,3,2,2,3,NA
"265","F",2,2,10,2,2,1,1,0.56366,1,1,3,5,5,5,-2,0,1,2,1,0.25,0.75,1,1,0,1,0,2,2,2,2,4,2,2,2,2,0,1,3,3,3,3,1,2,1,4
"266","M",1,2,10,2,9,1,2,0.986,1,1,3,5,4,5,1,-1,1,2,3,0.5,0.75,1,1,1,0,0,2,2,2,2,4,2,3,2,3,0,2,2,1,3,3,1,1,1,3
"267","M",1,1,4,1,2,2,3,0.70706,0,0,1,2,1,1,-2,-1,-2,0,-5,0.125,0,0.5,1,1,0,1,3,3,1,3,1,1,2,1,1,0,3,1,1,2,1,2,1,2,1
"268","M",2,2,10,2,9,1,1,0.56366,1,1,3,5,5,5,-1,-1,1,2,1,0.25,0.75,1,1,0,1,0,2,2,2,2,5,2,3,2,2,0,1,1,1,3,3,1,2,1,4
"269","F",2,9,9,1,1,2,3,1.72656,0,0,2,3,4,3,-2,-2,0,-2,-6,0,0.5,0,0,0,1,0,1,1,1,1,4,1,1,1,1,1,3,1,2,2,2,2,1,1,2
"270","F",2,2,10,9,9,2,1,0.4042,1,1,3,5,4,5,2,1,2,2,7,0.875,1,1,1,0,1,1,5,5,5,5,5,3,3,1,4,0,1,2,3,2,2,1,1,1,3
"271","M",1,2,12,2,1,1,3,0.50953,1,1,3,4,4,5,-2,-1,-2,2,-3,0.125,0,1,1,1,1,1,2,2,2,2,5,2,1,2,3,0,3,1,NA,3,3,2,1,1,2
"272","M",1,2,12,2,1,1,2,0.44335,1,1,3,4,4,5,-2,-2,1,2,-1,0,0.75,1,1,1,1,1,2,2,2,2,1,2,1,2,2,0,2,3,1,3,3,1,2,1,4
"273","M",1,2,10,2,9,1,1,0.67404,1,1,3,5,4,5,0,-2,0,2,0,0.25,0.5,1,1,1,1,0,2,2,2,2,5,2,3,2,3,0,1,NA,NA,1,2,1,1,1,3
"274","M",2,1,9,1,1,2,1,2.32096,0,0,1,3,3,2,0,0,1,1,2,0.5,0.75,0.75,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1,2,1,3,2,1,1,1,3
"275","M",2,1,5,1,1,2,3,1.23434,0,0,1,2,2,1,1,0,1,1,3,0.625,0.75,0.75,0,0,1,1,1,1,1,1,3,1,1,1,1,1,3,2,2,2,2,2,1,3,NA
"276","M",2,9,9,1,1,2,3,0.78523,0,0,2,3,3,3,1,1,1,2,5,0.75,0.75,1,1,0,1,0,1,1,1,1,5,1,1,1,1,1,3,NA,NA,2,2,3,3,2,NA
"277","M",1,2,10,2,9,1,9,0.93494,1,1,3,5,5,5,2,0,-1,0,1,0.75,0.25,0.5,1,1,0,1,2,2,2,2,4,2,3,2,2,0,NA,3,2,2,2,3,3,1,NA
"278","F",2,2,10,2,2,1,1,0.90521,1,1,3,5,3,4,1,1,2,2,6,0.75,1,1,1,0,1,0,2,2,2,2,5,2,2,2,3,0,1,2,3,3,3,1,2,3,4
"279","F",2,9,4,1,1,9,1,1.09724,0,1,3,2,3,4,-1,-1,-1,1,-2,0.25,0.25,0.75,1,0,1,0,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,2,1,2,1
